total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,dropout_rate,hidden_units,l2_reg,learning_rate,min_delta,num_hidden_layers,positional_encoding,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
241,16,13,refinement,1,10,0,48,0.14152937687332143,126,2.6682491819075464e-06,0.002291760187300978,8.587031402211054e-07,1,False,,61,0.39693550,0.635237,0.416702,0.573789,0.383758,0.325283,0.260400,0.43195906
242,16,14,refinement,,10,0,41,0.17750728049544484,256,3.9182808998120615e-05,0.0008775117018809297,7.396020291347447e-07,3,True,,76,0.38670094,0.651163,0.370529,0.627984,0.397482,0.417080,0.289346,0.43195906
243,17,1,refinement,,10,0,53,0.1459342292237269,148,1e-07,0.002291760187300978,8.587031402211054e-07,2,False,,60,0.38825340,0.699763,0.349614,0.696203,0.414013,0.568473,0.238261,0.43195906
244,17,2,refinement,,10,0,53,0.1307215830549245,241,0.00021766280539074005,0.0002411431405197795,8.750163176711506e-07,2,False,,48,0.40474776,0.629937,0.422199,0.537452,0.393113,0.332027,0.260304,0.43195906
245,17,3,refinement,,10,0,57,0.09986134102079627,182,1e-07,0.0005423214232444702,8.587031402211054e-07,3,False,,137,0.41688443,0.732650,0.390895,0.703448,0.434211,0.387097,0.272340,0.43195906
246,17,4,refinement,1,10,0,48,0.14152937687332143,192,1e-07,1e-05,8.587031402211054e-07,1,False,,61,0.37359770,0.625874,0.365466,0.595815,0.379019,0.542632,0.291603,0.43195906
247,17,5,refinement,,10,0,34,0.17829105040709228,256,0.00028708341117193476,0.002291760187300978,3.631853494316266e-07,2,False,,48,0.39129085,0.551080,0.385807,0.502460,0.394947,0.375612,0.263432,0.43195906
248,17,6,refinement,,10,0,48,0.1459342292237269,138,0.0004684536651669134,0.0005423214232444702,7.830088028335914e-07,3,False,['typical_price'],101,0.23753541,0.661010,0.469392,0.548423,0.380216,0.358472,0.252927,0.43195906
249,17,7,refinement,1,10,0,52,0.021175858658361135,102,2.6682491819075464e-06,0.002616560320601593,8.587031402211054e-07,3,False,,61,0.40819900,0.589872,0.413429,0.526982,0.404712,0.306555,0.259863,0.43195906
250,17,8,refinement,,10,0,64,0.2123701821354295,94,0.0004103464196228434,0.007416552018561085,8.587031402211054e-07,1,True,,56,0.40792114,0.621112,0.422111,0.570566,0.398462,0.579154,0.277027,0.43195906
251,17,9,refinement,,10,0,64,0.2129263927675439,158,0.00016370905479163558,0.002291760187300978,8.587031402211054e-07,1,False,,61,0.39286972,0.702624,0.376555,0.684471,0.403746,0.366190,0.265982,0.43195906
252,17,10,refinement,,10,0,64,0.13698158060219306,182,0.0001988168390548709,0.003785949380482413,5.309829335546341e-07,1,False,,61,0.40436049,0.636555,0.403463,0.603524,0.404959,0.402169,0.259915,0.43195906
253,17,11,refinement,,10,0,29,0.0,64,0.0005009423284365725,0.0005423214232444702,1e-06,2,False,['typical_price'],62,0.41449282,0.664600,0.430969,0.587879,0.403509,0.339250,0.253898,0.43195906
254,17,12,refinement,1,10,0,34,0.08140779799957704,256,0.0004681994427745786,1e-05,8.750163176711506e-07,3,False,,48,0.38272184,0.576619,0.376744,0.556042,0.386707,0.500490,0.291667,0.43195906
