ts,stage,generation,candidate,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,extra
1765807933.562,subprocess_ok,0,19,867176,867176,,,{"fitness":0.004492268897593021,"naive_mae":0.004131037276238203}
1765807933.562,candidate_end,0,19,867176,867176,,,
1765807933.562,candidate_start,0,20,867176,867176,,,
1765807933.803,subprocess_start,0,20,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":62,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":64,"encoder_lstm_units":10,"horizon_embedding_dim":27,"horizon_attn_key_dim":21}}
1765807936.284,before_preprocess,0,20,862208,862208,,,
1765807936.570,after_preprocess,0,20,872484,876588,,,
1765807936.571,before_build_model,0,20,872484,876588,,,
1765807936.668,after_build_model,0,20,875996,876588,,,
1765807936.668,before_fit,0,20,875996,876588,,,{"params":{"use_log1p_features":["typical_price"],"window_size":62,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":64,"encoder_lstm_units":10,"horizon_embedding_dim":27,"horizon_attn_key_dim":21}}
1765808437.036,after_fit,0,20,1248304,1248304,,,
1765808438.347,subprocess_ok,0,20,867176,867176,,,{"fitness":0.004878336098045111,"naive_mae":0.004142631310969591}
1765808438.348,candidate_end,0,20,867176,867176,,,
1765808438.359,candidate_start,1,1,867176,867176,,,
1765808438.595,subprocess_start,1,1,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":45,"positional_encoding":false,"encoder_conv_layers":3,"encoder_base_filters":114,"encoder_lstm_units":19,"horizon_embedding_dim":20,"horizon_attn_key_dim":21}}
1765808441.062,before_preprocess,1,1,861624,861624,,,
1765808441.346,after_preprocess,1,1,869844,872140,,,
1765808441.346,before_build_model,1,1,869844,872140,,,
1765808441.451,after_build_model,1,1,873540,873540,,,
1765808441.451,before_fit,1,1,873540,873540,,,{"params":{"use_log1p_features":["typical_price"],"window_size":45,"positional_encoding":false,"encoder_conv_layers":3,"encoder_base_filters":114,"encoder_lstm_units":19,"horizon_embedding_dim":20,"horizon_attn_key_dim":21}}
1765808958.723,after_fit,1,1,1370448,1370448,,,
1765808960.092,subprocess_ok,1,1,867176,867176,,,{"fitness":0.0053558023646473885,"naive_mae":0.004142071586102247}
1765808960.092,candidate_end,1,1,867176,867176,,,
1765808960.093,candidate_start,1,2,867176,867176,,,
1765808960.331,subprocess_start,1,2,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":72,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":86,"encoder_lstm_units":32,"horizon_embedding_dim":9,"horizon_attn_key_dim":21}}
1765808962.788,before_preprocess,1,2,861556,861556,,,
1765808963.084,after_preprocess,1,2,869984,877892,,,
1765808963.084,before_build_model,1,2,869984,877892,,,
1765808963.198,after_build_model,1,2,874428,877892,,,
1765808963.198,before_fit,1,2,874428,877892,,,{"params":{"use_log1p_features":["typical_price"],"window_size":72,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":86,"encoder_lstm_units":32,"horizon_embedding_dim":9,"horizon_attn_key_dim":21}}
1765809831.993,after_fit,1,2,1341472,1341472,,,
1765809833.319,subprocess_ok,1,2,867176,867176,,,{"fitness":0.004193623550236225,"naive_mae":0.004147178027778864}
1765809833.319,candidate_end,1,2,867176,867176,,,
1765809833.320,candidate_start,1,3,867176,867176,,,
1765809833.561,subprocess_start,1,3,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":44,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":95,"encoder_lstm_units":12,"horizon_embedding_dim":28,"horizon_attn_key_dim":13}}
1765809836.047,before_preprocess,1,3,861924,861924,,,
1765809836.334,after_preprocess,1,3,867908,867908,,,
1765809836.334,before_build_model,1,3,867908,867908,,,
1765809836.436,after_build_model,1,3,872952,872952,,,
1765809836.436,before_fit,1,3,872952,872952,,,{"params":{"use_log1p_features":null,"window_size":44,"positional_encoding":true,"encoder_conv_layers":1,"encoder_base_filters":95,"encoder_lstm_units":12,"horizon_embedding_dim":28,"horizon_attn_key_dim":13}}
1765810357.646,after_fit,1,3,1246896,1246896,,,
1765810358.948,subprocess_ok,1,3,867176,867176,,,{"fitness":0.0041482094675302505,"naive_mae":0.004142466466873884}
1765810358.949,candidate_end,1,3,867176,867176,,,
1765810358.949,candidate_start,1,4,867176,867176,,,
1765810359.185,subprocess_start,1,4,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":32,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":31,"encoder_lstm_units":9,"horizon_embedding_dim":20,"horizon_attn_key_dim":25}}
1765810361.667,before_preprocess,1,4,861896,861896,,,
1765810361.951,after_preprocess,1,4,867636,867636,,,
1765810361.951,before_build_model,1,4,867636,867636,,,
1765810362.051,after_build_model,1,4,872224,872224,,,
1765810362.051,before_fit,1,4,872224,872224,,,{"params":{"use_log1p_features":null,"window_size":32,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":31,"encoder_lstm_units":9,"horizon_embedding_dim":20,"horizon_attn_key_dim":25}}
1765810830.252,after_fit,1,4,1172916,1172916,,,
1765810831.565,subprocess_ok,1,4,867176,867176,,,{"fitness":0.0046351258642971516,"naive_mae":0.004130146000534296}
1765810831.578,candidate_end,1,4,867176,867176,,,
1765810831.579,candidate_start,1,5,867176,867176,,,
1765810831.816,subprocess_start,1,5,867176,867176,,,{"params":{"use_log1p_features":null,"window_size":32,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":31,"encoder_lstm_units":9,"horizon_embedding_dim":20,"horizon_attn_key_dim":25}}
1765810834.283,before_preprocess,1,5,862072,862072,,,
1765810834.565,after_preprocess,1,5,868672,868672,,,
1765810834.565,before_build_model,1,5,868672,868672,,,
1765810834.663,after_build_model,1,5,872332,872332,,,
1765810834.663,before_fit,1,5,872332,872332,,,{"params":{"use_log1p_features":null,"window_size":32,"positional_encoding":false,"encoder_conv_layers":1,"encoder_base_filters":31,"encoder_lstm_units":9,"horizon_embedding_dim":20,"horizon_attn_key_dim":25}}
1765811307.532,after_fit,1,5,1174468,1174468,,,
1765811308.827,subprocess_ok,1,5,867176,867176,,,{"fitness":0.004290435463190079,"naive_mae":0.004130146000534296}
1765811308.827,candidate_end,1,5,867176,867176,,,
1765811308.828,candidate_start,1,6,867176,867176,,,
1765811309.067,subprocess_start,1,6,867176,867176,,,{"params":{"use_log1p_features":["typical_price"],"window_size":32,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":12,"encoder_lstm_units":11,"horizon_embedding_dim":8,"horizon_attn_key_dim":27}}
1765811311.539,before_preprocess,1,6,862004,862004,,,
1765811311.820,after_preprocess,1,6,868744,871080,,,
1765811311.820,before_build_model,1,6,868744,871080,,,
1765811311.932,after_build_model,1,6,873464,873464,,,
1765811311.932,before_fit,1,6,873464,873464,,,{"params":{"use_log1p_features":["typical_price"],"window_size":32,"positional_encoding":true,"encoder_conv_layers":5,"encoder_base_filters":12,"encoder_lstm_units":11,"horizon_embedding_dim":8,"horizon_attn_key_dim":27}}
