DATE_TIME,Uncertainty_1,Uncertainty_2,Uncertainty_3,Uncertainty_4,Uncertainty_5,Uncertainty_6
2017-05-09 11:00:00,0.19624576,0.16641133,0.1948352,0.20323631,0.20259377,0.18269068
2017-05-09 12:00:00,0.20236862,0.18656921,0.19671711,0.19448058,0.21083193,0.17170545
2017-05-09 13:00:00,0.21445091,0.18544814,0.20170742,0.18866025,0.20666502,0.20341669
2017-05-09 14:00:00,0.19132146,0.18442142,0.1955681,0.20030321,0.18904188,0.1888795
2017-05-09 15:00:00,0.19994496,0.2259259,0.1950571,0.19339933,0.18755433,0.18962963
2017-05-09 16:00:00,0.20907001,0.19568604,0.18536411,0.1974434,0.22148554,0.20754436
2017-05-09 17:00:00,0.21462208,0.20011304,0.2013093,0.19731866,0.21370451,0.18901621
2017-05-09 18:00:00,0.2035496,0.19630614,0.21695262,0.19199903,0.2225547,0.19212352
2017-05-09 19:00:00,0.19060396,0.1995627,0.19690953,0.19685519,0.2169036,0.20445396
2017-05-09 20:00:00,0.20192514,0.20571621,0.20819265,0.18180771,0.19295293,0.19899109
2017-05-09 21:00:00,0.2028615,0.20002112,0.20197313,0.22092234,0.20739402,0.19735032
2017-05-09 22:00:00,0.21543899,0.18319412,0.23191734,0.19195528,0.20117794,0.20126687
2017-05-09 23:00:00,0.20401959,0.21689849,0.20322172,0.1748505,0.20829445,0.2036239
2017-05-10 00:00:00,0.19917727,0.16731513,0.2251349,0.19545276,0.20940599,0.21159753
2017-05-10 01:00:00,0.1902969,0.18991531,0.19816346,0.18592349,0.1819762,0.2037161
2017-05-10 02:00:00,0.20886679,0.20656522,0.20115519,0.18655455,0.20314719,0.19490169
2017-05-10 03:00:00,0.21432082,0.18644325,0.22431177,0.1735639,0.2061769,0.16436125
2017-05-10 04:00:00,0.21670777,0.18035573,0.18569243,0.18264495,0.19622901,0.17763944
2017-05-10 05:00:00,0.18428662,0.2007043,0.19513193,0.16328587,0.17543988,0.17507589
2017-05-10 06:00:00,0.1845709,0.17738001,0.19563057,0.16998155,0.179097,0.18645799
2017-05-10 07:00:00,0.19254714,0.17310396,0.19894081,0.18306643,0.18477717,0.18338057
2017-05-10 08:00:00,0.19026573,0.1905718,0.18784107,0.18740767,0.1849091,0.2011668
2017-05-10 09:00:00,0.20576774,0.18263842,0.20117593,0.19116086,0.19787277,0.19506863
2017-05-10 10:00:00,0.21719621,0.20049557,0.2161595,0.18219851,0.19400838,0.17016333
2017-05-10 11:00:00,0.18267347,0.1940843,0.1915173,0.1938024,0.20006146,0.20361017
2017-05-10 12:00:00,0.2019176,0.19221652,0.18710811,0.18919717,0.17150809,0.20201209
2017-05-10 13:00:00,0.2193725,0.19703247,0.20133711,0.18845642,0.20929119,0.19691493
2017-05-10 14:00:00,0.19250883,0.19013718,0.2049066,0.1904945,0.20649481,0.19691822
2017-05-10 15:00:00,0.19679962,0.20425995,0.22037728,0.21157977,0.21772306,0.18535429
2017-05-10 16:00:00,0.20407231,0.19813147,0.21077424,0.19422978,0.21494609,0.210969
2017-05-10 17:00:00,0.20992468,0.18898876,0.22475989,0.19352877,0.20579608,0.1842396
2017-05-10 18:00:00,0.18478131,0.2226961,0.1907511,0.20768054,0.19199578,0.181773
